PRECINCT_ID,NUM_MUNIMETER
1,254
25,57
34,164
41,31
43,159
14,525
28,97
45,228
47,143
50,167
60,141
63,199
69,99
72,187
75,84
90,140
94,69
100,38
101,33
104,272
105,162
106,294
108,413
109,419
110,271
111,207
71,116
113,21
9,197
5,217
6,241
7,128
10,126
13,642
17,329
30,49
18,572
19,455
20,220
22,17
23,84
24,125
79,62
26,59
32,43
73,58
33,99
40,100
42,0
48,149
44,87
46,118
49,192
67,163
52,207
62,429
66,383
68,284
70,387
76,68
77,81
78,179
81,26
83,105
84,191
88,68
102,236
103,223
107,230
112,374
114,535
115,306
120,186
121,32
122,107
123,11
61,515
